Job Type,Tracking Number,Authorization Number,Job Status,SAP Phase,Received Date,Created Date,Completed Date,Authorization Type,Administrative Area,Amendment Type,Latitude,Longitude,Application Type,Transaction Type,Complexity,Intake,Preliminary Application,Applicant Work Window,In Screening,Review and Decision,Processing,Days in Process,Withdrawn Date
New Registration,354375,108624,Completed,,2016-10-27,2016-10-31 10:27,2017-02-14 9:43,Code of Practice for Soil Amendments,Express Transactions,,51.12108,116.70223,,Express,Simple,4.5,,,,,101.2,105,
De-Registration,354379,107111,Completed,,2016-10-31 11:29,2016-10-31 11:29,2016-12-07 12:02,Organic Matter Recycling Regulation,Authorizations - South Region,,,,,Express,Medium,0,,,,,21.2,37,
Authorization Amendment,354433,1922,Approved,,2016-10-31,2016-11-01 8:15,2017-05-24 15:14,Permit,Authorizations - South Region,Minor,49.907,119.496,,Routine,Medium,1,91.1,0,0,113.1,,205,
Registration Amendment,354548,106177,Completed,,2016-10-06,2016-11-04 12:13,2016-11-04 12:27,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.35,122.05,Transfer,EM General,Simple,,,,,,,29,
New Registration,354600,108630,Completed,,2016-11-01,2016-11-07 9:03,2017-01-26 11:59,Code of Practice for Concrete and Concrete Products,Express Transactions,,49.117,116.51,,Express,Simple,6.4,,,,,37.1,43,
Auth Cancel Susp and Aband App,354602,5328,Approved,,2016-11-07 9:45,2016-11-07 9:45,2016-12-14,Permit,Authorizations - South Region,,,,Cancel,EM General,Medium,,,,,,,36.6,
Auth Cancel Susp and Aband App,354603,5327,Approved,,2016-11-07 9:48,2016-11-07 9:48,2016-12-14,Permit,Authorizations - South Region,,,,Cancel,EM General,Medium,,,,,,,36.6,
New Registration,354615,108635,Completed,,2016-11-02,2016-11-07 14:08,2017-01-05 15:22,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,54.055151,128.689869,,Express,Simple,5.6,,,,,45.8,51,
Authorization Amendment,354643,1307,Approved,,2016-11-08,2016-11-08 9:46,2017-04-20 14:15,Permit,Mining Team,Minor,54.0352778,125.0555,Name Change,EM General,Simple,,,,,,,162,
Authorization Amendment,354645,3266,Approved,,2016-11-08,2016-11-08 10:22,2017-03-28 13:13,Permit,Mining Team,Minor,54.037561,125.11908,Name Change,EM General,Simple,,,,,,,134,
Authorization Amendment,354646,2399,Approved,,2016-11-08,2016-11-08 10:29,2017-03-08 9:35,Permit,Mining Team,Minor,54.037561,125.11908,Name Change,EM General,Simple,,,,,,,108,
Authorization Amendment,354651,104777,Approved,,2016-11-08,2016-11-08 11:08,2017-03-23 15:16,Permit,Mining Team,Minor,55.126389,124.025,Name Change,EM General,Simple,,,,,,,134,
Authorization Amendment,354652,104779,Approved,,2016-11-08,2016-11-08 11:41,2017-03-23 15:12,Permit,Mining Team,Minor,55.126389,124.025,Name Change,EM General,Simple,,,,,,,133,
Authorization Amendment,354666,104778,Approved,,2016-11-08,2016-11-08 14:18,2017-03-08 9:48,Permit,Mining Team,Minor,55.126389,124.025,Name Change,EM General,Simple,,,,,,,108,
Authorization Amendment,354683,4621,Approved,,2016-11-08,2016-11-08 15:20,2017-03-22 14:12,Permit,Authorizations - South Region,Minor,50.9331,118.4469,Internal Amendment,EM General,Medium,,,,,,,128,
New Registration,354684,108643,Completed,,2016-11-08,2016-11-08 15:31,2017-01-05 15:43,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,52.120286,122.133855,,Express,Simple,0.6,,,,,44.8,45,
Authorization Amendment,354730,17150,Approved,,2016-11-01,2016-11-09 10:51,2017-09-08 11:41,Permit,Authorizations - North Region,Major,56.624122,121.169021,,Routine,Medium,8,63,0,8,231.2,,310,
Registration Amendment,354732,3871,Completed,,2016-11-09,2016-11-09 13:56,2017-07-11 15:58,Municipal Wastewater Regulation,Authorizations - South Region,Minor,49.71583,118.9305,,Routine,Medium,0.6,183.7,0,0,60,,244,
Authorization Amendment,354760,433,Approved,,2016-11-10,2016-11-10 15:32,2017-03-08 13:34,Permit,Authorizations - South Region,Minor,50.4872,120.8244,Internal Amendment,EM General,Medium,,,,,,,116,
New Registration,354814,108645,Completed,,2016-11-03,2016-11-14 9:19,2016-12-16 16:26,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,49.013773,122.27545,,Express,Simple,11.4,,,,,32.3,43,
New Registration,354817,108646,Completed,,2016-11-10,2016-11-14 9:50,2017-04-19 9:43,Hazardous Waste Regulation,Authorizations - South Region,,50.00895,125.35019,,Routine,Medium,4.4,142.1,0.8,0.2,0,,147,
Authorization Amendment,354820,170,Approved,,2016-11-14,2016-11-14 13:33,2017-03-27 9:14,Permit,Authorizations - South Region,Minor,51.0936,121.5708,Internal Amendment,EM General,Medium,,,,,,,94,
Authorization Amendment,354827,4017,Approved,,2016-11-14,2016-11-14 16:08,2017-03-23 10:21,Permit,Authorizations - South Region,Minor,50.9,119.4528,Internal Amendment,EM General,Medium,,,,,,,123,
Authorization Amendment,354843,6692,Approved,,2016-11-14,2016-11-15 8:49,2018-01-22 13:37,Permit,Express Transactions,Minor,50.601,126.67,Transfer,EM General,Simple,,,,,,,431,
Authorization Amendment,354844,107835,Approved,,2016-11-14,2016-11-15 9:56,2017-04-04 15:47,Permit,Mining Team,Minor,56.4637,130.1857,,Routine,Medium,1,69,0,0,67.1,,137,
Authorization Amendment,354851,4136,Approved,,2016-11-15,2016-11-15 14:32,2017-03-22 14:58,Permit,Authorizations - South Region,Minor,50.6846,119.2197,Internal Amendment,EM General,Medium,,,,,,,121,
Authorization Amendment,354857,416,Approved,,2016-11-15,2016-11-15 16:50,2016-11-21 15:28,Permit,Express Transactions,Minor,52.531,122.286,Internal Amendment,EM General,Simple,,,,,,,1,
New Registration,354910,108654,Completed,,2016-11-17,2016-11-17 13:27,2017-03-08 15:56,Organic Matter Recycling Regulation,Authorizations - South Region,,48.98722,122.98972,,Express,Medium,71,71,,,40.1,,110,
Authorization Amendment,354911,6822,Approved,,2016-11-17,2016-11-17 14:47,2016-11-21 15:22,Permit,Authorizations - North Region,Minor,51.659,121.385,Internal Amendment,EM General,Medium,,,,,,,1,
Authorization Amendment,354921,106262,Approved,,2016-11-17,2016-11-18 8:48,2017-04-10 14:45,Permit,Authorizations - South Region,Minor,49.8507,120.3112,,Routine,Simple,1,97.3,0,0,35.9,,134,
Authorization Amendment,354973,1713,Approved,,2016-11-21,2016-11-21 9:53,2017-02-21 9:08,Permit,Authorizations - South Region,Minor,50.8909,119.511,Internal Amendment,EM General,Medium,,,,,,,87,
Authorization Amendment,354997,6293,Approved,,2016-11-21,2016-11-21 12:54,2017-06-07 15:06,Permit,Authorizations - South Region,Minor,50.8084,119.6997,Internal Amendment,EM General,Medium,,,,,,,197,
Registration Amendment,354998,107054,Completed,,2015-11-10,2016-11-21 14:06,2016-11-21 14:19,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,Minor,60,121,,Express,Simple,377,0,,,0,,377,
Registration Amendment,355002,107054,Completed,,2015-11-10,2016-11-21 14:22,2016-11-21 14:30,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,60,121,,Express,Simple,377,0,,,0,,377,
Authorization Amendment,355006,330,Approved,,2016-11-21,2016-11-21 16:19,2017-06-08 11:20,Permit,Authorizations - South Region,Minor,51.64,120.0417,Internal Amendment,EM General,Medium,,,,,,,198,
